"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.02845987414117,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.61429616231263,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.63041310134856,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.50666957980305,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.59777818444197,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.47514915466309,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.6721727848053,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.72333335876465,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.64637998921817,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.5,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.5,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.5,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.36412027343451,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.39358221524245,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.18411698900106,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.33,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.43115406114047,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.2420185626734,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.44081511012361,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.24101795655625,
